name,campground,capacity,water_proximity,restroom_proximity,notes,loop,site_type,hookups,online_bookable
004,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
005,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
006,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
007,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
008,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
009,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
010,Anthony Chabot Campground,8,,,"EXISTS BUT IS NOT IN THE ONLINE LISTING. The site number falls in this loop's stated range, so the loop is known; its type is not, and is left blank rather than inherited from its neighbours. No source read says why these six are absent -- the likeliest reading is that they are the accessible sites, since ADA campsites are phone-only here, but that is a hypothesis. Ask Reservations on (888) 327-2757 option 2.",Loop A: Sites 1-12,,,False
011,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
012,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
013,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
014,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
015,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
016,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
017,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
018,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
019,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
020,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
021,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
022,Anthony Chabot Campground,8,,,"Inside the campground, not a backpack site: 0.2 miles (about 1,000 feet) from parking with no vehicle access or adjacent pad. EBRPD suggests a wagon. Priced at the $25 tent-only rate.",Loop B: Hike-In Sites 13-22 (NO driving to site),tent_hike_in,,True
023,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
024,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
025,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
026,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
027,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
028,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
029,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
030,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
031,Anthony Chabot Campground,8,,,"EXISTS BUT IS NOT IN THE ONLINE LISTING. The site number falls in this loop's stated range, so the loop is known; its type is not, and is left blank rather than inherited from its neighbours. No source read says why these six are absent -- the likeliest reading is that they are the accessible sites, since ADA campsites are phone-only here, but that is a hypothesis. Ask Reservations on (888) 327-2757 option 2.",Loop C: Sites 23-33,,,False
032,Anthony Chabot Campground,8,,,,Loop C: Sites 23-33,tent_drive_up,,True
033,Anthony Chabot Campground,8,,,"EXISTS BUT IS NOT IN THE ONLINE LISTING. The site number falls in this loop's stated range, so the loop is known; its type is not, and is left blank rather than inherited from its neighbours. No source read says why these six are absent -- the likeliest reading is that they are the accessible sites, since ADA campsites are phone-only here, but that is a hypothesis. Ask Reservations on (888) 327-2757 option 2.",Loop C: Sites 23-33,,,False
034,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
035,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
036,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
037,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
038,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
039,Anthony Chabot Campground,8,,,"EXISTS BUT IS NOT IN THE ONLINE LISTING. The site number falls in this loop's stated range, so the loop is known; its type is not, and is left blank rather than inherited from its neighbours. No source read says why these six are absent -- the likeliest reading is that they are the accessible sites, since ADA campsites are phone-only here, but that is a hypothesis. Ask Reservations on (888) 327-2757 option 2.",Loop D: Sites 34-61,,,False
040,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
041,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
042,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
043,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
044,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
045,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
046,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
047,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
048,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
049,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
050,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
051,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
052,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
053,Anthony Chabot Campground,8,,,"EXISTS BUT IS NOT IN THE ONLINE LISTING. The site number falls in this loop's stated range, so the loop is known; its type is not, and is left blank rather than inherited from its neighbours. No source read says why these six are absent -- the likeliest reading is that they are the accessible sites, since ADA campsites are phone-only here, but that is a hypothesis. Ask Reservations on (888) 327-2757 option 2.",Loop D: Sites 34-61,,,False
054,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
055,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
056,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
057,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
058,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
059,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
060,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
061,Anthony Chabot Campground,8,,,,Loop D: Sites 34-61,tent_drive_up,,True
062,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
063,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
064,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
065,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
066,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
067,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
068,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
069,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
070,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
071,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
072,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
073,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
074,Anthony Chabot Campground,8,,,,Loop F: Sites 62-75,tent_drive_up,,True
075,Anthony Chabot Campground,8,,,"EXISTS BUT IS NOT IN THE ONLINE LISTING. The site number falls in this loop's stated range, so the loop is known; its type is not, and is left blank rather than inherited from its neighbours. No source read says why these six are absent -- the likeliest reading is that they are the accessible sites, since ADA campsites are phone-only here, but that is a hypothesis. Ask Reservations on (888) 327-2757 option 2.",Loop F: Sites 62-75,,,False
Eagle Springs #1,Eagle Springs,10,,,"FROM THE SUNOL BOOKING FACILITY, WHICH SELLS NINETEEN BACKPACK SITES ACROSS THREE PARKS. ReserveAmerica's EB/110028 is titled just 'Sunol' and its site list is prefixed MIS:, OHL: and SUN: -- Mission Peak, Ohlone and Sunol. That is why no Mission Peak facility exists and why nothing sells the Ohlone camps under their own name: they are all under this one. Until now this project held these camps as single units with no sites, because the only sources read named the camp and not its parts. Restroom and water proximity are NOT recorded for any of them -- the facility gives a name and a capacity and nothing else -- and at a camp reached on foot that is the question that decides which site to take, which is why open_questions asks it. NOT BOOKABLE ONLINE: listed, not sold. EBRPD's backpack sites are phone-only District-wide. PER-SITE DETAIL, from this site's own booking page. Hike-in. Min 1, max 10. One vehicle. Category: Tent Site. No shade rating and no pets marker. EVERY ONE OF THESE SITES TAKES A MINIMUM OF 1, which is what a backpack site means and is the cleanest corroboration yet for the round-valley-camp-class reading: a site a solo camper can book is not a group site, whatever a category field says. Restroom and water proximity are STILL not stated for any of them. TWO STRUCTURED FIELDS HERE ARE THE BOOKING SYSTEM'S SCHEMA LEAKING, and reading them literally would be wrong. 'Driveway Surface: Gravel' is published for sites two to eleven miles up a trail with no driveway; 'Maximum Number of Vehicles: 1' means one car at the trailhead, not at the pitch. Both fields exist for drive-in campgrounds and are filled in anyway. This project reads them as what they are -- a vehicle allowance and a form default -- and records them rather than storing either as a fact about the site.",Mission Peak Backpack,,,False
Eagle Springs #2,Eagle Springs,10,,,"FROM THE SUNOL BOOKING FACILITY, WHICH SELLS NINETEEN BACKPACK SITES ACROSS THREE PARKS. ReserveAmerica's EB/110028 is titled just 'Sunol' and its site list is prefixed MIS:, OHL: and SUN: -- Mission Peak, Ohlone and Sunol. That is why no Mission Peak facility exists and why nothing sells the Ohlone camps under their own name: they are all under this one. Until now this project held these camps as single units with no sites, because the only sources read named the camp and not its parts. Restroom and water proximity are NOT recorded for any of them -- the facility gives a name and a capacity and nothing else -- and at a camp reached on foot that is the question that decides which site to take, which is why open_questions asks it. NOT BOOKABLE ONLINE: listed, not sold. EBRPD's backpack sites are phone-only District-wide. PER-SITE DETAIL, from this site's own booking page. Hike-in. Min 1, max 10. One vehicle. Category: Tent Site. No shade rating and no pets marker. EVERY ONE OF THESE SITES TAKES A MINIMUM OF 1, which is what a backpack site means and is the cleanest corroboration yet for the round-valley-camp-class reading: a site a solo camper can book is not a group site, whatever a category field says. Restroom and water proximity are STILL not stated for any of them. TWO STRUCTURED FIELDS HERE ARE THE BOOKING SYSTEM'S SCHEMA LEAKING, and reading them literally would be wrong. 'Driveway Surface: Gravel' is published for sites two to eleven miles up a trail with no driveway; 'Maximum Number of Vehicles: 1' means one car at the trailhead, not at the pitch. Both fields exist for drive-in campgrounds and are filled in anyway. This project reads them as what they are -- a vehicle allowance and a form default -- and records them rather than storing either as a fact about the site.",Mission Peak Backpack,,,False
Eagle Springs #3,Eagle Springs,10,,,"FROM THE SUNOL BOOKING FACILITY, WHICH SELLS NINETEEN BACKPACK SITES ACROSS THREE PARKS. ReserveAmerica's EB/110028 is titled just 'Sunol' and its site list is prefixed MIS:, OHL: and SUN: -- Mission Peak, Ohlone and Sunol. That is why no Mission Peak facility exists and why nothing sells the Ohlone camps under their own name: they are all under this one. Until now this project held these camps as single units with no sites, because the only sources read named the camp and not its parts. Restroom and water proximity are NOT recorded for any of them -- the facility gives a name and a capacity and nothing else -- and at a camp reached on foot that is the question that decides which site to take, which is why open_questions asks it. NOT BOOKABLE ONLINE: listed, not sold. EBRPD's backpack sites are phone-only District-wide. PER-SITE DETAIL, from this site's own booking page. Hike-in. Min 1, max 10. One vehicle. Category: Tent Site. No shade rating and no pets marker. EVERY ONE OF THESE SITES TAKES A MINIMUM OF 1, which is what a backpack site means and is the cleanest corroboration yet for the round-valley-camp-class reading: a site a solo camper can book is not a group site, whatever a category field says. Restroom and water proximity are STILL not stated for any of them. TWO STRUCTURED FIELDS HERE ARE THE BOOKING SYSTEM'S SCHEMA LEAKING, and reading them literally would be wrong. 'Driveway Surface: Gravel' is published for sites two to eleven miles up a trail with no driveway; 'Maximum Number of Vehicles: 1' means one car at the trailhead, not at the pitch. Both fields exist for drive-in campgrounds and are filled in anyway. This project reads them as what they are -- a vehicle allowance and a form default -- and records them rather than storing either as a fact about the site.",Mission Peak Backpack,,,False
Eagle Springs #4,Eagle Springs,10,,,"FROM THE SUNOL BOOKING FACILITY, WHICH SELLS NINETEEN BACKPACK SITES ACROSS THREE PARKS. ReserveAmerica's EB/110028 is titled just 'Sunol' and its site list is prefixed MIS:, OHL: and SUN: -- Mission Peak, Ohlone and Sunol. That is why no Mission Peak facility exists and why nothing sells the Ohlone camps under their own name: they are all under this one. Until now this project held these camps as single units with no sites, because the only sources read named the camp and not its parts. Restroom and water proximity are NOT recorded for any of them -- the facility gives a name and a capacity and nothing else -- and at a camp reached on foot that is the question that decides which site to take, which is why open_questions asks it. NOT BOOKABLE ONLINE: listed, not sold. EBRPD's backpack sites are phone-only District-wide. PER-SITE DETAIL, from this site's own booking page. Hike-in. Min 1, max 10. One vehicle. Category: Tent Site. THE ONLY ONE OF THE FOUR THAT STATES A DISTANCE: 'Hike In Distance to Site 21120' -- 21,120 feet, which is EXACTLY 4.0 MILES. The other three Eagle Springs sites leave the field empty, so 4 miles is recorded here and NOT read across to them, even though four sites at one camp are unlikely to differ by much. Mission Peak's park page gives 'the 3-plus-mile hike to Mission Peak', which is the summit and a different destination. The field is given in feet here and at Round Valley, where 18,000 feet became 3.41 miles. EVERY ONE OF THESE SITES TAKES A MINIMUM OF 1, which is what a backpack site means and is the cleanest corroboration yet for the round-valley-camp-class reading: a site a solo camper can book is not a group site, whatever a category field says. Restroom and water proximity are STILL not stated for any of them. TWO STRUCTURED FIELDS HERE ARE THE BOOKING SYSTEM'S SCHEMA LEAKING, and reading them literally would be wrong. 'Driveway Surface: Gravel' is published for sites two to eleven miles up a trail with no driveway; 'Maximum Number of Vehicles: 1' means one car at the trailhead, not at the pitch. Both fields exist for drive-in campgrounds and are filled in anyway. This project reads them as what they are -- a vehicle allowance and a form default -- and records them rather than storing either as a fact about the site.",Mission Peak Backpack,,,False
Boyd #1,Boyd Camp,8,,,"FROM THE SUNOL BOOKING FACILITY, WHICH SELLS NINETEEN BACKPACK SITES ACROSS THREE PARKS. ReserveAmerica's EB/110028 is titled just 'Sunol' and its site list is prefixed MIS:, OHL: and SUN: -- Mission Peak, Ohlone and Sunol. That is why no Mission Peak facility exists and why nothing sells the Ohlone camps under their own name: they are all under this one. Until now this project held these camps as single units with no sites, because the only sources read named the camp and not its parts. Restroom and water proximity are NOT recorded for any of them -- the facility gives a name and a capacity and nothing else -- and at a camp reached on foot that is the question that decides which site to take, which is why open_questions asks it. NOT BOOKABLE ONLINE: listed, not sold. EBRPD's backpack sites are phone-only District-wide. PER-SITE DETAIL, from this site's own booking page. Hike-in. Min 1, max 8. One vehicle. FULL shade. Category: Tent Site. EVERY ONE OF THESE SITES TAKES A MINIMUM OF 1, which is what a backpack site means and is the cleanest corroboration yet for the round-valley-camp-class reading: a site a solo camper can book is not a group site, whatever a category field says. Restroom and water proximity are STILL not stated for any of them. TWO STRUCTURED FIELDS HERE ARE THE BOOKING SYSTEM'S SCHEMA LEAKING, and reading them literally would be wrong. 'Driveway Surface: Gravel' is published for sites two to eleven miles up a trail with no driveway; 'Maximum Number of Vehicles: 1' means one car at the trailhead, not at the pitch. Both fields exist for drive-in campgrounds and are filled in anyway. This project reads them as what they are -- a vehicle allowance and a form default -- and records them rather than storing either as a fact about the site.",Ohlone Backpack,,,False
